;2020-01-29 ;2020-01-30 ;2020-01-31 ;2020-02-01 ;2020-02-02 ;2020-02-03 ;2020-02-04 ;2020-02-05 ;2020-02-06 ;2020-02-07 ;2020-02-08 ;2020-02-09 ;2020-02-10 ;2020-02-11 ;2020-02-12 ;2020-02-13 ;2020-02-14 ;2020-02-15 ;2020-02-16 ;2020-02-17 ;2020-02-18 ;2020-02-19 ;2020-02-20 ;2020-02-21 ;2020-02-22 ;2020-02-23 ;2020-02-24 ;2020-02-25 ;2020-02-26 ;2020-02-27 ;2020-02-28 ;2020-02-29 ;2020-03-01 ;2020-03-02 ;2020-03-03 ;2020-03-04 ;2020-03-05 ;2020-03-06 ;2020-03-07 ;2020-03-08 ;2020-03-09 ;2020-03-10 ;2020-03-11 ;2020-03-12 ;2020-03-13 ;2020-03-14 ;2020-03-15 ;2020-03-16 ;2020-03-17 ;2020-03-18 ;2020-03-19 ;2020-03-20 ;2020-03-21 ;2020-03-22 ;2020-03-23 ;2020-03-24 ;2020-03-25 ;2020-03-26 ;2020-03-27 ;2020-03-28 ;2020-03-29 ;2020-03-30 ;2020-03-31 ;2020-04-01 ;2020-04-02 ;2020-04-03 ;2020-04-04 ;2020-04-05 ;2020-04-06 ;2020-04-07 ;2020-04-08 
Ahvenanmaa ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,7;6,7;20,1;23,4;23,4;30,1;30,1;30,1;30,1;40,2;40,2;40,2;40,2;40,2;43,5;43,5;46,8;46,8;46,8
Varsinais-Suomen SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,4;1,0;2,3;2,9;3,5;3,7;3,7;3,9;4,2;4,8;6,2;7,5;7,7;7,9;9,6;10,8;12,0;13,3;15,0;15,2;14,5;15,8;17,0;17,7;20,1;22,4;23,1;23,7;25,5;28,0;29,5
Satakunnan SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;4,6;4,6;4,6;4,6;4,6;5,0;5,0;5,9;6,4;6,9;7,8;7,8;7,8;8,2;9,1;10,1;10,5;11,0;12,8;12,8;13,7;14,6;15,1;15,1;15,1;16,0;16,5;16,5
Kanta-Hämeen SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,6;0,6;1,2;1,8;2,3;2,9;4,7;5,8;5,8;7,6;7,6;7,6;8,2;8,2;9,9;10,5;10,5;11,1;11,1;12,3;12,3;12,3;12,8;14,0;15,8;18,1;19,8;21,0;21,6;22,8;23,3;26,3;28,6;28,6;29,8
Pirkanmaan SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,2;0,2;0,6;0,7;0,9;1,5;2,4;3,2;3,7;3,9;4,3;4,5;4,7;4,9;5,8;6,5;8,4;9,3;9,7;11,6;13,6;15,9;18,3;19,8;20,6;20,7;22,4;23,0;23,7;25,8;28,6;29,0;29,0;29,7;29,7;29,7
Päijät-Hämeen SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,9;2,4;2,4;6,2;9,5;10,9;11,4;12,8;13,3;13,7;14,7;17,0;18,0;18,5;19,9;19,9;19,9;20,4;20,4;20,4
Kymenlaakson SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,6;0,6;0,6;0,6;0,6;1,8;1,8;3,0;3,0;4,1;4,7;4,7;5,3;5,3;5,9;6,5;7,7;7,7;7,7;8,3;9,5;9,5;11,3;14,8;14,8;16,6;16,6
Etelä-Karjalan SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;1,6;1,6;1,6;1,6;1,6;1,6;2,3;3,1;3,9;3,9;5,4;6,2;6,2;6,2;6,2;6,2;6,2;6,2;7,0;8,5;8,5;8,5;8,5;8,5;8,5;9,3;9,3
Etelä-Savon SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;2,0;3,9;4,9;4,9;4,9;4,9;7,9;7,9;7,9;8,9;9,9;10,8;11,8;12,8;17,7;20,7;25,6;25,6;27,6;28,6;29,6;30,5;31,5;32,5;32,5;33,5;33,5;34,5
Itä-Savon SHP ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;4,7;4,7;4,7;4,7;4,7;7,1;7,1;7,1;16,6;16,6;18,9;21,3;21,3;21,3;21,3
