malli;kunta;koko sote
maakuntaa pienempi yhteistoiminta-alue;Akaa;3309,1
maakuntaa pienempi yhteistoiminta-alue;Alajärvi;3835,7
maakuntaa pienempi yhteistoiminta-alue;Alavieska;3959,2
yhteisyritys;Alavus;4001,3
maakunnallinen sote-kuntayhtymä;Asikkala;3560,4
kunta;Askola;3107,7
maakuntaa pienempi yhteistoiminta-alue;Aura;2947
maakuntaa pienempi yhteistoiminta-alue;Enonkoski;4710,3
maakuntaa pienempi yhteistoiminta-alue;Enontekiö;4739,7
kunta;Espoo;2603,3
kunta;Eura;3542,9
maakuntaa pienempi yhteistoiminta-alue;Eurajoki;3395,6
maakuntaa pienempi yhteistoiminta-alue;Evijärvi;4159,3
maakuntaa pienempi yhteistoiminta-alue;Forssa;3739,9
maakuntaa pienempi yhteistoiminta-alue;Haapajärvi;4124,4
maakuntaa pienempi yhteistoiminta-alue;Haapavesi;3843,9
kunta;Hailuoto;4537
maakunnallinen sote-kuntayhtymä;Halsua;4309
maakunnallinen sote-kuntayhtymä;Hamina;3884,1
maakuntaa pienempi yhteistoiminta-alue;Hankasalmi;4591,4
kunta;Hanko;3960
maakuntaa pienempi yhteistoiminta-alue;Harjavalta;4407,4
maakunnallinen sote-kuntayhtymä;Hartola;4775,2
ulkoistus;Hattula;2800,1
maakuntaa pienempi yhteistoiminta-alue;Hausjärvi;3135,7
kunta;Heinola;3727,5
maakunnallinen sote-kuntayhtymä;Heinävesi;5345,4
kunta;Helsinki;2918,2
maakunnallinen sote-kuntayhtymä;Hirvensalmi;4276,5
maakunnallinen sote-kuntayhtymä;Hollola;3069,5
maakuntaa pienempi yhteistoiminta-alue;Honkajoki;4151,3
kunta;Huittinen;3803,2
maakuntaa pienempi yhteistoiminta-alue;Humppila;3795,5
maakunnallinen sote-kuntayhtymä;Hyrynsalmi;5530,4
maakuntaa pienempi yhteistoiminta-alue;Hyvinkää;3356,4
kunta;Hämeenkyrö;3003,9
kunta;Hämeenlinna;3534,7
maakuntaa pienempi yhteistoiminta-alue;Ii;3339,7
maakuntaa pienempi yhteistoiminta-alue;Iisalmi;3599,2
maakunnallinen sote-kuntayhtymä;Iitti;3785,7
kunta;Ikaalinen;3895
maakuntaa pienempi yhteistoiminta-alue;Ilmajoki;3139,2
maakunnallinen sote-kuntayhtymä;Ilomantsi;5310,1
maakunnallinen sote-kuntayhtymä;Imatra;3427,9
kunta;Inari;4286,4
kunta;Inkoo;3172,9
maakuntaa pienempi yhteistoiminta-alue;Isojoki;5112,3
maakuntaa pienempi yhteistoiminta-alue;Isokyrö;3360,8
kunta;Janakkala;3170,1
maakunnallinen sote-kuntayhtymä;Joensuu;3166,4
maakuntaa pienempi yhteistoiminta-alue;Jokioinen;3112,4
maakuntaa pienempi yhteistoiminta-alue;Joroinen;3845,4
maakuntaa pienempi yhteistoiminta-alue;Joutsa;4514,2
maakunnallinen sote-kuntayhtymä;Juuka;5204,3
yhteisyritys;Juupajoki;3802,5
maakunnallinen sote-kuntayhtymä;Juva;4163,7
maakuntaa pienempi yhteistoiminta-alue;Jyväskylä;2923,9
maakuntaa pienempi yhteistoiminta-alue;Jämijärvi;3772,8
yhteisyritys;Jämsä;4159,3
maakuntaa pienempi yhteistoiminta-alue;Järvenpää;3172,1
kunta;Kaarina;2952,8
maakuntaa pienempi yhteistoiminta-alue;Kaavi;5338,8
maakunnallinen sote-kuntayhtymä;Kajaani;3873,1
maakuntaa pienempi yhteistoiminta-alue;Kalajoki;3051,3
maakuntaa pienempi yhteistoiminta-alue;Kangasala;2825,5
maakunnallinen sote-kuntayhtymä;Kangasniemi;4452,1
maakuntaa pienempi yhteistoiminta-alue;Kankaanpää;3610
maakuntaa pienempi yhteistoiminta-alue;Kannonkoski;4767,9
maakunnallinen sote-kuntayhtymä;Kannus;3525,4
maakuntaa pienempi yhteistoiminta-alue;Karijoki;4872,8
maakuntaa pienempi yhteistoiminta-alue;Karkkila;3510,4
maakuntaa pienempi yhteistoiminta-alue;Karstula;4097,7
maakuntaa pienempi yhteistoiminta-alue;Karvia;4067,8
maakuntaa pienempi yhteistoiminta-alue;Kaskinen;5168
maakuntaa pienempi yhteistoiminta-alue;Kauhajoki;4042,3
maakuntaa pienempi yhteistoiminta-alue;Kauhava;4060,3
kunta;Kauniainen;2914,6
maakunnallinen sote-kuntayhtymä;Kaustinen;3510,6
maakuntaa pienempi yhteistoiminta-alue;Keitele;4520,5
ulkoistus;Kemi;4316,1
kunta;Kemijärvi;5339,8
ulkoistus;Keminmaa;3766,5
kunta;Kemiönsaari;4248,5
kunta;Kempele;2581,5
kunta;Kerava;2735,7
maakuntaa pienempi yhteistoiminta-alue;Keuruu;3831,5
yhteisyritys;Kihniö;4361,3
ulkoistus;Kinnula;4705,9
kunta;Kirkkonummi;2775,7
maakunnallinen sote-kuntayhtymä;Kitee;4124,7
kunta;Kittilä;4319
maakuntaa pienempi yhteistoiminta-alue;Kiuruvesi;4335,1
maakuntaa pienempi yhteistoiminta-alue;Kivijärvi;5096,1
maakuntaa pienempi yhteistoiminta-alue;Kokemäki;3821,3
maakunnallinen sote-kuntayhtymä;Kokkola;3496,1
kunta;Kolari;4277,3
maakuntaa pienempi yhteistoiminta-alue;Konnevesi;4392,5
maakunnallinen sote-kuntayhtymä;Kontiolahti;2547,4
maakuntaa pienempi yhteistoiminta-alue;Korsnäs;3617,8
maakuntaa pienempi yhteistoiminta-alue;Koski;3918,8
maakunnallinen sote-kuntayhtymä;Kotka;4129,1
maakuntaa pienempi yhteistoiminta-alue;Kouvola;3840,2
maakuntaa pienempi yhteistoiminta-alue;Kristiinankaupunki;3942,4
maakunnallinen sote-kuntayhtymä;Kruunupyy;3601
maakunnallinen sote-kuntayhtymä;Kuhmo;4896,4
maakuntaa pienempi yhteistoiminta-alue;Kuhmoinen;4654,2
maakuntaa pienempi yhteistoiminta-alue;Kuopio;3491,5
yhteisyritys;Kuortane;3933,7
