Sarake1;kunta;kuntakoodi;Erikoissairaanhoidon nettokäyttökustannukset, euroa / asukas;Ikääntyneiden laitoshoidon nettokäyttökustannukset, euroa / asukas;Ikääntyneiden ympärivuorokautisen hoivan asumispalvelujen nettokäyttökustannukset, euroa / asukas (2015-);Kotihoidon nettokäyttökustannukset, euroa / asukas;Lastensuojelun avohuoltopalvelujen nettokäyttökustannukset, euroa / asukas (2015-);Lastensuojelun laitos- ja perhehoidon nettokäyttökustannukset, euroa / asukas;Muiden ikääntyneiden palvelujen nettokäyttökustannukset, euroa / asukas (2015-);Muiden lasten ja perheiden avopalvelujen nettokäyttökustannukset, euroa / asukas (2015-);Muiden vammaisten palvelujen nettokäyttökustannukset, euroa / asukas (2015-);Muun sosiaali- ja terveystoiminnan nettokäyttökustannukset, euroa / asukas;Perusterveydenhuollon avohoidon (pl. suun terveydenhoito) nettokäyttökustannukset, euroa / asukas;Perusterveydenhuollon vuodeosastohoidon nettokäyttökustannukset, euroa / asukas;Päihdehuollon erityispalvelujen nettokäyttökustannukset, euroa / asukas;Sosiaali- ja terveystoiminnan nettokäyttökustannukset (pl. varhaiskasvatus 2015-), euroa / asukas;Suun terveydenhuollon nettokäyttökustannukset, euroa / asukas;Työllistymistä tukevien palvelujen nettokäyttökustannukset, euroa / asukas (2015-);Vammaisten laitoshoidon nettokäyttökustannukset, euroa / asukas;Vammaisten ympärivuorokautisen hoivan asumispalvelujen nettokäyttökustannukset, euroa / asukas (2015-);Ympäristöterveydenhuollon nettokäyttökustannukset, euroa / asukas;Kuntakoodi;Kunta;Maakuntakoodi;Asukasluku_2018;Kuntakokoryhmä;Kuntakoko_koodi;kuntatyyppilk;Kuntatyyp_koodi;Väestönmuutoslk;Väestönm_koodi;Yhdistelmäkoodi
2018;Alajärvi;5;1407;0;578,6;221,5;48,6;119,8;70,3;73;247,3;103,7;406,7;154,5;13,1;3835,7;112,6;68,6;67,1;109;34,3;5;Alajärvi;14;9700;5001-10000;5;Taajaan asuttu kunta;3;Väestöään nopeasti menettävä;4;534
2018;Alavieska;9;1205,2;0;680,1;248,7;66,8;152,7;166,3;25,3;232;181,1;467,2;270,5;17,5;3959,2;118,5;0,8;0;87,8;38,5;9;Alavieska;17;2573;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävä;4;644
2018;Alavus;10;1401,8;31,8;615,7;331,4;11,2;148,9;46,6;27,5;98,7;92,6;572,9;242,6;11,2;4001,3;128,7;7,8;30,8;177,8;23,2;10;Alavus;14;11544;10001-20000;4;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävä;4;444
2018;Asikkala;16;1101,1;0;397;275,2;19,5;156,3;67;50,9;172;90,9;650,9;216,8;24,9;3560,4;105,2;75,7;0;130,3;26,5;16;Asikkala;7;8149;5001-10000;5;Taajaan asuttu kunta;3;Väestöään menettävä;3;533
2018;Askola;18;1176,7;403,8;-9,7;212,2;59,3;134,1;42,4;36,1;197,1;125,9;340,1;26,8;11,9;3107,7;81,5;66,2;157,3;29,4;16,7;18;Askola;1;4958;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään menettävä;3;643
2018;Aura;19;1237,7;2;268,6;136;54,5;50,7;38,4;52;202,1;56,5;373,5;126,5;26,1;2947;93,1;46,9;24,3;144,6;13,6;19;Aura;2;3984;2000-5000;6;Maaseutumaiset kunnat;4;Kasvava;2;642
2018;Akaa;20;1174,8;1,2;390,6;151,9;72,4;181,5;90,8;38,7;152,8;133;371,6;228,1;26,3;3309,1;92,4;48,4;53,5;90,8;10,2;20;Akaa;6;16611;10001-20000;4;Taajaan asuttu kunta;3;Väestöään menettävä;3;433
2018;Enonkoski;46;1788,6;0;956,6;494;34,9;0;39,9;27,8;133,1;124,6;560,9;96,8;8,5;4710,3;78,3;128,8;0;181,5;56,2;46;Enonkoski;10;1405;Alle 2000;7;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävä;4;744
2018;Enontekiö;47;1613,4;649;0;255,9;34;14,6;177,1;0;514,6;186,8;753,8;326,7;-1,1;4739,7;106,9;44,8;0;0;63,2;47;Enontekiö;19;1852;Alle 2000;7;Maaseutumaiset kunnat;4;Väestöään menettävä;3;743
2018;Espoo;49;952,8;22,8;188,9;107,8;50,1;148,2;52,3;50,4;185,8;73,9;301,8;127,4;45,8;2603,3;68;94;10,3;118,7;4,4;49;Espoo;1;283632;Yli 100000;1;Suuret kaupungit;1;Nopeasti kasvava;1;111
2018;Eura;50;1262,7;0;421,9;218,2;8,5;111,8;130,3;147,9;203,8;56,9;395,5;208,5;22,9;3542,9;84,9;32,5;2;217;17,6;50;Eura;4;11748;10001-20000;4;Taajaan asuttu kunta;3;Väestöään nopeasti menettävä;4;434
2018;Eurajoki;51;1163,2;69,3;341,5;263,2;60,1;156,5;99,5;27,1;148,4;135,1;339,9;125,3;1,6;3395,6;110,5;33;16,6;284,7;20;51;Eurajoki;4;9454;5001-10000;5;Maaseutumaiset kunnat;4;Kasvava;2;542
2018;Evijärvi;52;1550,7;0;443,2;496,2;86,1;89,4;52,6;10,9;236,6;97;420,5;207,8;5,3;4159,3;84,9;41,6;0;313,8;22,6;52;Evijärvi;14;2473;2000-5000;6;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävä;4;644
2018;Forssa;61;1601,9;82;435,3;228,7;65,1;157,9;64,8;44,4;171,7;60;282,8;39,8;31,4;3739,9;162,7;102,4;1,6;188,2;19,3;61;Forssa;5;17028;10001-20000;4;Kaupunkimaiset kunnat;2;Väestöään menettävä;3;423
2018;Haapajärvi;69;1373,4;5,6;328;311,9;34;148,5;165,5;66;153,1;121,2;641,5;239,3;41,3;4124,4;99,2;146,2;55,7;150,3;43,8;69;Haapajärvi;17;7147;5001-10000;5;Taajaan asuttu kunta;3;Väestöään nopeasti menettävä;4;534
2018;Haapavesi;71;1289,8;93,2;250,1;295,9;102,7;96,6;129;36,3;204;41,3;660,6;241,5;34,3;3843,9;88,6;42,5;86,7;103,4;47,6;71;Haapavesi;17;6854;5001-10000;5;Maaseutumaiset kunnat;4;Väestöään nopeasti menettävä;4;544
