Kunta;Erikoissairaanhoito;Ikääntyneiden palvelut;Kotihoito;Lasten, nuorten ja perheiden palvelut;Perusterveydenhuollon avohoito;Perusterveydenhuollon vuodeosastohoito;Päihdehuollon erityispalvelut;Suun terveydenhuolto;Vammaisten palvelut;Muu sote-toiminta;Yhteensä;Asukasluku;Kuntakoko;Kuntatyyppi;Väestönmuutos
Alajärvi;1407;648.9;221.5;241.4;406.7;154.5;13.1;112.6;423.4;206.6;3835.7;9700;5;3;4
Alavieska;1205.2;846.4;248.7;244.8;467.2;270.5;17.5;118.5;319.8;220.4;3959.2;2573;6;4;4
Alavus;1401.8;694.1;331.4;187.6;572.9;242.6;11.2;128.7;307.3;123.6;4001.3;11544;4;4;4
Asikkala;1101.1;464;275.2;226.7;650.9;216.8;24.9;105.2;302.3;193.1;3560.4;8149;5;3;3
Askola;1176.7;436.5;212.2;229.5;340.1;26.8;11.9;81.5;383.8;208.8;3107.7;4958;6;4;3
Aura;1237.7;309;136;157.2;373.5;126.5;26.1;93.1;371;117;2947;3984;6;4;2
Akaa;1174.8;482.6;151.9;292.6;371.6;228.1;26.3;92.4;297.1;191.6;3309.1;16611;4;3;3
Enonkoski;1788.6;996.5;494;62.7;560.9;96.8;8.5;78.3;314.6;309.6;4710.3;1405;7;4;4
Enontekiö;1613.4;826.1;255.9;48.6;753.8;326.7;-1.1;106.9;514.6;294.8;4739.7;1852;7;4;3
Espoo;952.8;264;107.8;248.7;301.8;127.4;45.8;68;314.8;172.3;2603.3;283632;1;1;1
Eura;1262.7;552.2;218.2;268.2;395.5;208.5;22.9;84.9;422.8;107;3542.9;11748;4;3;4
Eurajoki;1163.2;510.3;263.2;243.7;339.9;125.3;1.6;110.5;449.7;188.1;3395.6;9454;5;4;2
Evijärvi;1550.7;495.8;496.2;186.4;420.5;207.8;5.3;84.9;550.4;161.2;4159.3;2473;6;4;4
Forssa;1601.9;582.1;228.7;267.4;282.8;39.8;31.4;162.7;361.5;181.7;3739.9;17028;4;2;3
Haapajärvi;1373.4;499.1;311.9;248.5;641.5;239.3;41.3;99.2;359.1;311.2;4124.4;7147;5;3;4
Haapavesi;1289.8;472.3;295.9;235.6;660.6;241.5;34.3;88.6;394.1;131.4;3843.9;6854;5;4;4
Hailuoto;1607.8;1037;249.5;83.1;586.2;334.7;0;139.6;201.3;297.7;4537;974;7;4;3
Halsua;1418.9;691;448.9;101.3;394.8;317.6;16.3;135.6;597.5;187.1;4309;1165;7;4;4
Hamina;1266.4;776.3;189.2;273.5;463.2;206.4;37.4;70.1;375.5;226;3884.1;20286;3;2;3
Hankasalmi;1413.4;963.1;381.3;293.7;561.7;135.3;18.4;63.4;425.5;335.7;4591.4;4939;6;4;4
Hanko;1448;531.4;289.7;252.7;389.1;226;23.4;64.8;480.7;254.3;3960;8379;5;2;4
Harjavalta;1622.4;752.1;212.2;374.7;454.1;157.3;32.1;80.8;514.4;207.3;4407.4;7018;5;2;4
Hartola;1332;962.6;416.9;290;570.1;202.5;3.6;156.8;589.9;250.7;4775.2;2780;6;4;4
Hattula;1139.3;340;165;229.6;285.4;84;0.1;64.3;312.7;179.9;2800.1;9475;5;3;3
Hausjärvi;1169.8;452.5;195.9;263.2;375.9;127.4;0.1;112.3;362.2;76.6;3135.7;8417;5;4;3
Heinävesi;1628.1;1485.1;450.9;201.3;456;249.3;26.4;63.7;546.1;238.5;5345.4;3329;6;4;4
Helsinki;1082.7;382.1;180.6;243.1;239.6;81.6;45.6;93.8;304.5;264.5;2918.2;648042;1;1;1
Vantaa;1027.8;287.9;50;316.2;315.7;124.8;51.9;71.8;287;221.6;2754.6;228166;1;1;1
Hirvensalmi;1660.3;1045.6;290;238.4;288.1;149.6;38.6;82.2;308.6;175.2;4276.5;2152;6;4;4
Hollola;1151;349.6;183.2;285.1;381.8;133.1;20;83.1;284;198.7;3069.5;23602;3;2;3
